x1,y1,t
82.98716,46.95697,0.0
83.05183,46.94895,0.02560163850486431
83.11779,46.94244,0.05120327700972862
83.19135,46.94475,0.07680491551459293
83.26523,46.95383,0.10240655401945724
83.34026,46.98605,0.12800819252432155
83.4156,47.02737,0.15360983102918585
83.49182,47.093,0.17921146953405018
83.57051,47.16254,0.20481310803891448
83.65816,47.24625,0.23041474654377878
83.74918,47.33151,0.2560163850486431
83.86067,47.42621,0.2816180235535074
83.96915,47.51953,0.3072196620583717
84.06798,47.60848,0.332821300563236
84.16021,47.69781,0.35842293906810035
84.22876,47.78852,0.38402457757296465
84.29203,47.87951,0.40962621607782895
84.33608,47.97157,0.43522785458269325
84.37872,48.06051,0.46082949308755755
84.41726,48.14041,0.4864311315924219
84.45674,48.21588,0.5120327700972862
84.49932,48.2766,0.5376344086021505
84.54306,48.33108,0.5632360471070148
84.59043,48.36605,0.5888376856118791
84.64026,48.3974,0.6144393241167434
84.69875,48.41597,0.6400409626216077
84.7567,48.43286,0.665642601126472
84.81315,48.44498,0.6912442396313364
84.86895,48.45784,0.7168458781362007
84.92179,48.47406,0.742447516641065
84.9756,48.49173,0.7680491551459293
85.0381,48.52217,0.7936507936507936
85.10092,48.55264,0.8192524321556579
85.16494,48.58328,0.8448540706605222
85.22943,48.61158,0.8704557091653865
85.29662,48.62665,0.8960573476702508
85.36407,48.63919,0.9216589861751151
85.4331,48.63692,0.9472606246799794
85.50251,48.63349,0.9728622631848438
85.57381,48.62435,0.9984639016897081
85.64432,48.61518,1.0240655401945724
85.71218,48.60593,1.0496671786994367
85.7792,48.59721,1.075268817204301
85.84298,48.59051,1.1008704557091653
85.90271,48.58525,1.1264720942140296
85.94718,48.58544,1.152073732718894
85.98499,48.58658,1.1776753712237582
85.99447,48.5918,1.2032770097286225
85.99955,48.59624,1.2288786482334868
85.97348,48.59506,1.254480286738351
85.94416,48.59167,1.2800819252432154
85.89508,48.57477,1.3056835637480797
85.84469,48.5565,1.331285202252944
85.78885,48.53252,1.3568868407578083
85.73439,48.51198,1.3824884792626728
85.68464,48.50326,1.4080901177675371
85.6375,48.50192,1.4336917562724014
85.59997,48.52778,1.4592933947772657
85.56393,48.55979,1.48489503328213
85.53596,48.62501,1.5104966717869943
85.51021,48.6929,1.5360983102918586
85.49145,48.76924,1.561699948796723
85.47213,48.84574,1.5873015873015872
85.44916,48.92329,1.6129032258064515
85.42372,48.99542,1.6385048643113158
85.38597,49.04054,1.66410650281618
85.34521,49.07511,1.6897081413210444
