electrode,cluster,spiketime
1.0,6.0,57.110305
1.0,6.0,57.111325
1.0,6.0,57.11192
1.0,6.0,57.129745
1.0,6.0,57.172735
1.0,6.0,57.17579
1.0,5.0,58.52442
1.0,5.0,59.200075
1.0,6.0,60.043565
1.0,6.0,60.0485
1.0,6.0,60.2723
1.0,6.0,60.274875
1.0,5.0,60.333265
1.0,6.0,60.336875
1.0,6.0,60.57741
1.0,6.0,60.578625
1.0,6.0,60.93707
1.0,5.0,61.134515
1.0,6.0,61.18488
1.0,6.0,61.548635
1.0,6.0,61.76529
1.0,6.0,62.79089
1.0,6.0,62.791245
1.0,6.0,62.792425
1.0,5.0,62.897735
1.0,5.0,62.90079
1.0,6.0,64.10256
1.0,6.0,64.34127
1.0,6.0,64.783085
1.0,6.0,64.83179
1.0,6.0,64.832625
1.0,6.0,64.833725
1.0,5.0,64.835055
1.0,5.0,64.854965
1.0,5.0,64.855875
1.0,5.0,66.287235
1.0,6.0,66.290605
1.0,6.0,66.83838
1.0,6.0,67.75361
1.0,5.0,67.89688
1.0,5.0,67.93589
1.0,5.0,67.96133
1.0,5.0,67.96216
1.0,6.0,68.417585
1.0,6.0,68.710795
1.0,6.0,68.97924
1.0,6.0,69.256085
1.0,6.0,69.2581
1.0,6.0,69.375775
1.0,5.0,69.393845
1.0,6.0,69.745195
1.0,6.0,69.838235
1.0,6.0,69.83872
1.0,6.0,69.83973
1.0,5.0,70.32763
1.0,5.0,70.334175
1.0,5.0,70.336845
1.0,6.0,70.67984
1.0,6.0,70.68147
1.0,6.0,70.682025
1.0,6.0,70.68313
1.0,5.0,70.7451
1.0,6.0,71.19182
1.0,6.0,71.192265
1.0,6.0,71.193955
1.0,6.0,71.22125
1.0,6.0,71.22231
1.0,6.0,71.222805
1.0,6.0,71.22375
1.0,6.0,71.225115
1.0,6.0,71.226845
1.0,6.0,71.27317
1.0,6.0,71.273735
1.0,6.0,71.274085
1.0,6.0,71.28768
1.0,6.0,71.291715
1.0,6.0,71.306355
1.0,6.0,71.307225
1.0,6.0,71.30876
1.0,6.0,71.30966
1.0,6.0,71.323955
1.0,6.0,71.329075
1.0,6.0,71.331205
1.0,6.0,71.34669
1.0,6.0,71.34742
1.0,6.0,71.34945
1.0,6.0,71.3717
1.0,6.0,71.372495
1.0,6.0,71.39337
1.0,6.0,71.406355
1.0,6.0,71.408125
1.0,6.0,71.409595
1.0,6.0,71.41086
1.0,6.0,71.418905
1.0,6.0,71.433475
1.0,6.0,71.435015
1.0,6.0,71.436545
1.0,6.0,71.460035
1.0,6.0,71.657565
1.0,6.0,71.676025
1.0,6.0,72.250255
1.0,6.0,72.25306
1.0,6.0,72.28861
1.0,6.0,72.289665
1.0,6.0,72.37411
1.0,6.0,72.375585
1.0,6.0,72.37597
1.0,6.0,72.41425
1.0,6.0,72.41514
1.0,6.0,72.47009
1.0,6.0,72.53598
1.0,6.0,72.70356
1.0,6.0,72.73975
1.0,6.0,72.741915
1.0,6.0,72.77967
1.0,6.0,72.781115
1.0,6.0,72.853175
1.0,6.0,72.87433
1.0,6.0,72.89617
1.0,6.0,72.90924
1.0,6.0,72.928405
1.0,6.0,72.92995
1.0,6.0,72.93113
1.0,6.0,72.94406
1.0,6.0,72.94486
1.0,6.0,72.947315
1.0,6.0,72.948805
1.0,6.0,72.960975
1.0,6.0,72.964215
1.0,6.0,72.96763
1.0,6.0,72.97784
1.0,6.0,72.980845
1.0,6.0,72.981315
1.0,6.0,72.995015
1.0,6.0,72.997195
1.0,6.0,73.000325
1.0,6.0,73.003885
1.0,6.0,73.042865
1.0,6.0,73.147125
1.0,6.0,73.151965
1.0,6.0,73.2634
1.0,6.0,73.26357
1.0,6.0,73.302715
1.0,6.0,73.31654
1.0,6.0,73.36129
1.0,6.0,73.364995
1.0,5.0,73.533925
1.0,5.0,73.53627
1.0,5.0,73.554035
1.0,6.0,73.599535
1.0,6.0,73.600135
1.0,6.0,73.71056
1.0,6.0,73.8447
1.0,5.0,75.084525
1.0,5.0,75.813995
1.0,5.0,75.84891
1.0,6.0,75.85274
1.0,5.0,75.85463
1.0,5.0,75.861305
1.0,5.0,75.863405
1.0,6.0,75.921565
1.0,6.0,75.9347
1.0,5.0,76.06214
1.0,5.0,76.064745
1.0,6.0,77.266135
1.0,6.0,77.269215
1.0,5.0,77.58534
1.0,6.0,77.624345
1.0,6.0,77.798845
1.0,6.0,77.82891
1.0,6.0,78.615985
1.0,6.0,78.64807
1.0,5.0,78.77664
1.0,5.0,78.79131
1.0,6.0,78.80287
1.0,6.0,78.8039
1.0,6.0,78.804845
1.0,5.0,78.808555
1.0,5.0,78.81208
1.0,5.0,78.85216
1.0,6.0,78.857215
1.0,6.0,79.22854
1.0,6.0,79.4306
1.0,6.0,79.459815
1.0,5.0,80.018305
1.0,5.0,80.02029
1.0,5.0,80.02204
1.0,6.0,80.02388
1.0,6.0,80.02458
1.0,6.0,80.02578
1.0,5.0,80.027185
1.0,5.0,80.02869
1.0,6.0,81.32188
1.0,5.0,81.52717
1.0,6.0,82.077185
1.0,5.0,82.611635
1.0,5.0,82.627995
1.0,5.0,82.64622
1.0,6.0,82.65296
1.0,6.0,82.65385
1.0,6.0,83.153635
1.0,6.0,85.05516
1.0,6.0,85.946205
1.0,6.0,86.11973
1.0,6.0,86.36269
1.0,6.0,86.364535
1.0,6.0,86.712125
1.0,6.0,86.880345
1.0,6.0,87.19193
1.0,6.0,87.228535
1.0,6.0,87.22969
1.0,6.0,87.234305
1.0,5.0,87.986025
1.0,5.0,88.04288
1.0,5.0,88.044465
1.0,6.0,88.09388
1.0,6.0,88.565455
1.0,6.0,88.94436
1.0,6.0,88.944815
1.0,6.0,88.94501
1.0,6.0,88.954525
1.0,6.0,88.97071
1.0,6.0,88.974315
1.0,6.0,88.98568
1.0,6.0,88.98759
1.0,6.0,88.99359
1.0,6.0,89.01309
1.0,6.0,89.014475
1.0,6.0,89.01532
1.0,6.0,89.079055
1.0,6.0,89.081455
1.0,6.0,89.08268
1.0,6.0,89.13512
1.0,6.0,89.1381
1.0,6.0,89.139905
1.0,6.0,89.142255
1.0,6.0,89.205205
1.0,6.0,89.206555
1.0,6.0,89.246875
1.0,6.0,89.247635
1.0,6.0,89.248895
1.0,6.0,89.4635
1.0,6.0,89.55349
1.0,6.0,89.553995
1.0,6.0,89.555895
1.0,6.0,89.60894
1.0,6.0,89.818615
1.0,6.0,89.89862
1.0,6.0,90.262995
1.0,5.0,90.31481
1.0,6.0,90.31784
1.0,6.0,90.50729
1.0,6.0,90.518845
1.0,6.0,91.520955
1.0,6.0,91.60934
1.0,6.0,92.299415
1.0,6.0,92.999995
1.0,6.0,93.411915
1.0,6.0,93.412765
1.0,6.0,94.81475
1.0,5.0,95.29606
1.0,6.0,95.29966
1.0,6.0,96.49836
1.0,5.0,96.668055
1.0,6.0,96.69924
1.0,6.0,96.70228
1.0,5.0,99.284305
1.0,6.0,99.59565
1.0,5.0,100.20829
1.0,5.0,100.209475
1.0,6.0,100.215215
1.0,5.0,100.21538
1.0,6.0,100.234735
1.0,6.0,100.23513
1.0,6.0,100.239085
1.0,6.0,100.239295
1.0,6.0,100.2401
1.0,5.0,100.263835
1.0,6.0,100.62108
1.0,6.0,100.63056
1.0,6.0,100.6317
1.0,6.0,100.640065
1.0,6.0,100.73244
1.0,6.0,100.73555
1.0,5.0,101.069355
1.0,6.0,101.65701
1.0,6.0,102.16911
1.0,5.0,102.17792
1.0,5.0,102.69455
1.0,6.0,103.675625
1.0,6.0,103.676815
1.0,6.0,104.807825
1.0,6.0,104.909845
1.0,6.0,105.623875
1.0,6.0,107.04693
1.0,6.0,107.485295
1.0,6.0,107.58494
1.0,5.0,107.61659
1.0,5.0,107.619385
1.0,5.0,107.6332
1.0,5.0,107.63659
1.0,5.0,107.669675
1.0,5.0,107.6835
1.0,6.0,107.90811
1.0,6.0,108.413125
1.0,5.0,108.492615
1.0,6.0,109.24504
1.0,6.0,109.24653
1.0,6.0,110.8404
1.0,6.0,110.84133
1.0,6.0,111.237405
1.0,6.0,111.27628
1.0,6.0,111.84198
1.0,5.0,112.212985
1.0,5.0,112.216165
1.0,5.0,112.218255
1.0,5.0,112.21876
1.0,6.0,112.494855
1.0,5.0,112.77425
1.0,6.0,113.003495
1.0,6.0,113.009225
1.0,6.0,113.011515
1.0,6.0,113.22332
1.0,6.0,114.345
1.0,6.0,114.347025
1.0,6.0,114.371585
1.0,6.0,114.56871
1.0,5.0,115.11741
1.0,6.0,115.34299
1.0,6.0,115.35014
1.0,5.0,115.377335
1.0,6.0,115.68342
1.0,6.0,115.776225
1.0,5.0,116.131075
1.0,6.0,116.155885
1.0,6.0,116.19757
1.0,6.0,116.207585
1.0,6.0,116.20806
1.0,6.0,116.209605
1.0,5.0,116.426165
1.0,5.0,116.42813
1.0,5.0,116.42913
1.0,5.0,116.431115
1.0,5.0,116.43522
1.0,5.0,116.43658
1.0,5.0,117.007935
1.0,6.0,117.300895
1.0,6.0,117.413035
1.0,5.0,117.437275
1.0,6.0,117.756175
1.0,6.0,118.94825
1.0,6.0,118.949435
1.0,6.0,118.962955
1.0,6.0,118.963615
1.0,6.0,118.964005
1.0,6.0,118.967395
1.0,6.0,118.99659
1.0,6.0,119.34102
1.0,6.0,119.341255
1.0,6.0,119.342495
1.0,6.0,119.34458
1.0,6.0,119.344815
1.0,6.0,119.348405
1.0,6.0,119.405775
1.0,6.0,119.40641
1.0,6.0,119.406685
1.0,6.0,119.508415
1.0,6.0,119.50955
1.0,6.0,119.510445
1.0,6.0,119.515185
1.0,6.0,119.52334
1.0,6.0,119.524405
1.0,6.0,119.526105
1.0,6.0,119.52848
1.0,6.0,119.53157
1.0,6.0,119.531975
1.0,6.0,119.541995
1.0,6.0,119.54259
1.0,6.0,119.543655
1.0,6.0,119.54553
1.0,6.0,119.547415
1.0,6.0,119.552955
1.0,6.0,119.55398
1.0,6.0,119.56037
1.0,6.0,119.571975
1.0,6.0,119.57261
1.0,6.0,119.57471
1.0,6.0,119.578895
1.0,6.0,119.58248
1.0,6.0,119.586305
1.0,6.0,119.593255
1.0,6.0,119.594385
1.0,6.0,119.596525
1.0,6.0,119.59761
1.0,6.0,119.607805
1.0,6.0,119.619255
1.0,6.0,119.63234
1.0,6.0,119.63461
1.0,6.0,119.6601
1.0,6.0,119.662215
1.0,6.0,119.841445
1.0,6.0,119.852635
1.0,6.0,119.85351
1.0,6.0,120.04092
1.0,6.0,120.041535
