delay_time,region,mi_max,p-value
-0.55,EC,0.675647900229399,0.013
0.1,EC,0.8430222277914035,0.008
0.45,EC,0.46629389737942584,0.012
0.7,CA1,0.23412125420261415,0.001
0.3,EC,0.6256171266247383,0.001
-1.0,CA1,0.16662540773817602,0.042
1.0,CA3,0.44720026477242786,0.0
0.85,CA1,0.49630475225550685,0.045
0.05,CA1,4.44335474069846,0.036
0.15,EC,1.7724314549796065,0.026
0.55,EC,0.18916418899797044,0.016
0.65,CA3,0.18946540465295927,0.005
-0.8,EC,0.5202475120843763,0.0
-0.35,EC,0.8731961434014958,0.01
0.4,CA1,0.677570805172544,0.004
-0.6,CA3,1.0882185458821778,0.0
0.3,EC,0.5815217467606506,0.0
0.7,CA1,1.6816579798485285,0.0
0.1,EC,0.4345253134070781,0.025
-0.9,CA1,1.2330300080059375,0.0
0.0,EC,0.8621995043764887,0.02
-0.8,CA3,0.3769724266950488,0.022
0.95,EC,0.2367475793729676,0.029
0.95,CA1,1.2270789291566238,0.0
-1.0,EC,1.3952778643945414,0.0
-0.75,CA1,1.1692255625162251,0.003
0.65,EC,0.2731018302002266,0.0
0.7,EC,0.5817345234302223,0.0
0.15,CA1,0.3580445038894239,0.013
1.0,CA1,1.216780002419875,0.011
0.15,CA3,0.4182686315963602,0.039
-0.6,EC,1.000088755983561,0.002
-1.0,EC,0.38564467475218067,0.004
1.0,EC,0.5594874185478929,0.0
-0.5,EC,0.2766225335769832,0.001
-1.0,CA3,0.527042005142806,0.029
1.0,CA1,0.5035319850354941,0.0
0.4,CA1,0.3801717129949558,0.018
0.35,EC,0.1692043315716533,0.041
0.65,CA3,0.4038432225570012,0.001
0.3,EC,0.36925441937148984,0.0
0.4,EC,0.24445808744644093,0.022
0.4,EC,1.0912513745953802,0.034
1.0,CA1,0.641892019214866,0.0
1.0,CA1,0.30516411464819615,0.019
0.45,CA1,0.6917771760957829,0.0
-0.6,CA1,0.6429241516089204,0.004
-1.0,EC,0.25469494183496555,0.008
